node1	node2
ATR	MYC
ATR	E2F1
ATR	PARP1
ATR	BRCA2
ATR	RAD50
ATR	RAD51
ATR	BRCA1
AXIN1	DVL2
AXIN1	FGF4
AXIN1	FGF20
AXIN1	CSNK2A1
AXIN1	WNT16
AXIN1	WNT3
AXIN1	CCND1
AXIN1	FZD10
AXIN1	SKP1
AXIN1	WNT6
AXIN1	FZD3
AXIN1	KRAS
AXIN1	WNT10A
AXIN1	LRP6
AXIN1	CSNK1A1
AXIN1	MTOR
AXIN1	FGF10
AXIN1	PIK3CA
AXIN1	FGF19
AXIN1	FGF16
AXIN1	FGF8
AXIN1	FGF18
AXIN1	MAP2K1
AXIN1	SP1
AXIN1	FGF9
AXIN1	FGF3
AXIN1	ERBB2
AXIN1	BRAF
AXIN1	FZD6
AXIN1	FZD9
AXIN1	DLL1
AXIN1	SFRP4
AXIN1	EGF
AXIN1	BRCA1
AXIN1	PTEN
AXIN1	FZD8
AXIN1	JUN
AXIN1	WNT5B
AXIN1	WNT7B
AXIN1	FRAT2
AXIN1	WNT2B
AXIN1	CSNK2A2
AXIN1	WNT10B
AXIN1	WNT7A
AXIN1	WNT11
AXIN1	MAPK3
AXIN1	WNT4
AXIN1	EGFR
AXIN1	NOTCH1
AXIN1	WNT5A
AXIN1	FZD7
AXIN1	WNT2
AXIN1	FZD5
AXIN1	MYC
AXIN1	TCF7L1
AXIN1	ESR1
AXIN1	FZD2
AXIN1	TP53
AXIN1	TCF7L2
AXIN1	WNT1
AXIN1	FZD1
AXIN1	CSNK1A1L
AXIN1	LEF1
AXIN1	WNT3A
AXIN1	TCF7
AXIN1	DVL3
AXIN1	FRAT1
AXIN1	CTNNB1
AXIN1	DVL1
AXIN1	AXIN2
AXIN1	GSK3B
AXIN1	LRP5
AXIN2	DVL2
AXIN2	FGF4
AXIN2	FGF20
AXIN2	WNT16
AXIN2	WNT3
AXIN2	CCND1
AXIN2	FGF6
AXIN2	FZD10
AXIN2	WNT6
AXIN2	FZD3
AXIN2	KRAS
AXIN2	WNT10A
AXIN2	LRP6
AXIN2	CSNK1A1
AXIN2	MAPK3
AXIN2	FGF2
AXIN2	WNT5A
AXIN2	FGF10
AXIN2	LEF1
AXIN2	EGF
AXIN2	WNT2
AXIN2	CDK6
AXIN2	FGF7
AXIN2	TP53
AXIN2	FGF18
AXIN2	EGFR
AXIN2	TCF7L1
AXIN2	WNT3A
AXIN2	WNT7A
AXIN2	FZD7
AXIN2	FZD1
AXIN2	WNT4
AXIN2	WNT1
AXIN2	LRP5
AXIN2	WNT10B
AXIN2	FGF16
AXIN2	FGF5
AXIN2	BRAF
AXIN2	NOTCH1
AXIN2	FGF3
AXIN2	PTEN
AXIN2	FGF9
AXIN2	DLL1
AXIN2	FGF8
AXIN2	ESR1
AXIN2	JUN
AXIN2	SFRP4
AXIN2	HES5
AXIN2	FZD6
AXIN2	FZD8
AXIN2	FZD5
AXIN2	FZD9
AXIN2	HEY1
AXIN2	WNT5B
AXIN2	WNT11
AXIN2	WNT2B
AXIN2	FZD2
AXIN2	WNT7B
AXIN2	MYC
AXIN2	TCF7L2
AXIN2	CSNK1A1L
AXIN2	DVL3
AXIN2	TCF7
AXIN2	DVL1
AXIN2	GSK3B
AXIN2	CTNNB1
BAK1	TP53
BAK1	KIT
BAK1	BAX
BAK1	CDKN1A
BAX	CCND1
BAX	CDK4
BAX	MAPK3
BAX	TP53
BAX	EGFR
BAX	CTNNB1
BAX	MYC
BAX	PTEN
BAX	CDKN1A
BAX	MTOR
BAX	JUN
BAX	PARP1
BAX	GSK3B
BRAF	MAPK1
BRAF	SOS2
BRAF	RPS6KB1
BRAF	CCND1
BRAF	SKP1
BRAF	KRAS
BRAF	NOTCH2
BRAF	CDK4
BRAF	MAP2K2
BRAF	MAPK3
BRAF	PIK3CA
BRAF	FGF2
BRAF	WNT5A
BRAF	EGF
BRAF	TP53
BRAF	ERBB2
BRAF	FGF18
BRAF	EGFR
BRAF	KIT
BRAF	MAP2K1
BRAF	FOS
BRAF	RPS6KB2
BRAF	GSK3B
BRAF	PGR
BRAF	SHC4
BRAF	FGF3
BRAF	E2F1
BRAF	MTOR
BRAF	PARP1
BRAF	NRAS
BRAF	JUN
BRAF	PTEN
BRAF	PIK3CD
BRAF	BRCA2
BRAF	GRB2
BRAF	IGF1
BRAF	SOS1
BRAF	CDKN1A
BRAF	FGFR1
BRAF	SHC1
BRAF	RAF1
BRAF	ESR1
BRAF	HRAS
BRAF	BRCA1
BRAF	PIK3R1
BRAF	NOTCH1
BRAF	MYC
BRAF	CTNNB1
BRCA1	MAPK1
BRCA1	CSNK2A1
BRCA1	CCND1
BRCA1	SKP1
BRCA1	POLK
BRCA1	KRAS
BRCA1	DDB2
BRCA1	CDK4
BRCA1	E2F3
BRCA1	MAPK3
BRCA1	PIK3CA
BRCA1	EGF
BRCA1	NBN
BRCA1	CDK6
BRCA1	RB1
BRCA1	TP53
BRCA1	ERBB2
BRCA1	EGFR
BRCA1	KIT
BRCA1	GSK3B
BRCA1	PGR
BRCA1	MRE11
BRCA1	SP1
BRCA1	ESR2
BRCA1	E2F1
BRCA1	MTOR
BRCA1	E2F2
BRCA1	PARP1
BRCA1	NRAS
BRCA1	GADD45A
BRCA1	JUN
BRCA1	PTEN
BRCA1	NCOA3
BRCA1	RAD50
BRCA1	BRCA2
BRCA1	IGF1
BRCA1	CDKN1A
BRCA1	NCOA1
BRCA1	FGFR1
BRCA1	ESR1
BRCA1	HRAS
BRCA1	IGF1R
BRCA1	NOTCH1
BRCA1	CTNNB1
BRCA1	PIK3R1
BRCA1	MYC
BRCA1	RAD51
BRCA2	CCND1
BRCA2	POLK
BRCA2	KRAS
BRCA2	CDK4
BRCA2	PIK3CA
BRCA2	EGF
BRCA2	NBN
BRCA2	CDK6
BRCA2	TP53
BRCA2	ERBB2
BRCA2	EGFR
BRCA2	KIT
BRCA2	PGR
BRCA2	MRE11
BRCA2	SP1
BRCA2	E2F1
BRCA2	MTOR
BRCA2	PARP1
BRCA2	NRAS
BRCA2	PTEN
BRCA2	RAD50
BRCA2	PIK3R1
BRCA2	IGF1R
BRCA2	TNFSF11
BRCA2	HRAS
BRCA2	FGFR1
BRCA2	CTNNB1
BRCA2	NOTCH1
BRCA2	CDKN1A
BRCA2	ESR1
BRCA2	MYC
BRCA2	RAD51
CCND1	DVL2
CCND1	FGF4
CCND1	FGF20
CCND1	FGF22
CCND1	MAPK1
CCND1	CSNK2A1
CCND1	PIK3R2
CCND1	WNT3
CCND1	RPS6KB1
CCND1	FZD9
CCND1	DLL1
CCND1	FZD5
CCND1	FZD6
CCND1	WNT6
CCND1	FZD8
CCND1	NOTCH4
CCND1	DVL3
CCND1	WNT7B
CCND1	NFKB2
CCND1	HEY1
CCND1	JAG2
CCND1	TCF7
CCND1	FGF17
CCND1	WNT2B
CCND1	FGF5
CCND1	WNT11
CCND1	FGF6
CCND1	FGF16
CCND1	SHC1
CCND1	PIK3R1
CCND1	WNT10B
CCND1	WNT7A
CCND1	FGF8
CCND1	NBN
CCND1	FZD2
CCND1	RPS6KB2
CCND1	FGF18
CCND1	FGF7
CCND1	FGF10
CCND1	FGF9
CCND1	FZD1
CCND1	GADD45A
CCND1	CSNK1A1
CCND1	FZD7
CCND1	NOTCH3
CCND1	WNT2
CCND1	NOTCH2
CCND1	CSNK2A2
CCND1	TCF7L1
CCND1	RAF1
CCND1	FGF3
CCND1	SP1
CCND1	DVL1
CCND1	FGFR1
CCND1	TNFSF11
CCND1	LRP6
CCND1	WNT4
CCND1	WNT5A
CCND1	IGF1
CCND1	FGF2
CCND1	WNT1
CCND1	GRB2
CCND1	LRP5
CCND1	IGF1R
CCND1	ESR2
CCND1	FGF19
CCND1	WNT3A
CCND1	PIK3CA
CCND1	RAD51
CCND1	PARP1
CCND1	EGF
CCND1	MAPK3
CCND1	HRAS
CCND1	KIT
CCND1	MAP2K1
CCND1	NCOA1
CCND1	NCOA3
CCND1	NRAS
CCND1	MTOR
CCND1	TCF7L2
CCND1	PGR
CCND1	KRAS
CCND1	EGFR
CCND1	PTEN
CCND1	E2F2
CCND1	E2F3
CCND1	NOTCH1
CCND1	ERBB2
CCND1	JUN
CCND1	LEF1
CCND1	E2F1
CCND1	FOS
CCND1	TP53
CCND1	SKP1
CCND1	MYC
CCND1	CTNNB1
CCND1	GSK3B
CCND1	ESR1
CCND1	RB1
CCND1	CDK4
CCND1	CDK6
CCND1	CDKN1A
CDK4	SKP1
CDK4	KRAS
CDK4	NOTCH2
CDK4	MAP2K1
CDK4	MRE11
CDK4	GADD45A
CDK4	PIK3R1
CDK4	IGF1
CDK4	FGF2
CDK4	FOS
CDK4	GRB2
CDK4	ERBB2
CDK4	SP1
CDK4	NOTCH1
CDK4	PGR
CDK4	EGF
CDK4	IGF1R
CDK4	MTOR
CDK4	HRAS
CDK4	PIK3CA
CDK4	ESR1
CDK4	PARP1
CDK4	JUN
CDK4	CTNNB1
CDK4	E2F2
CDK4	GSK3B
CDK4	E2F3
CDK4	NRAS
CDK4	PTEN
CDK4	RAD51
CDK4	E2F1
CDK4	MYC
CDK4	TP53
CDK4	RB1
CDK4	CDKN1A
CDK4	CDK6
CDK6	SKP1
CDK6	KRAS
CDK6	NOTCH2
CDK6	E2F3
CDK6	PIK3CA
CDK6	EGF
CDK6	FOS
CDK6	PIK3R1
CDK6	MTOR
CDK6	NRAS
CDK6	NOTCH1
CDK6	ESR1
CDK6	GADD45A
CDK6	PARP1
CDK6	HRAS
CDK6	RAD51
CDK6	CTNNB1
CDK6	E2F2
CDK6	JUN
CDK6	MYC
CDK6	PTEN
CDK6	TP53
CDK6	E2F1
CDK6	RB1
CDK6	CDKN1A
CDKN1A	GADD45B
CDKN1A	MAPK1
CDKN1A	RPS6KB1
CDKN1A	SKP1
CDKN1A	GADD45G
CDKN1A	KRAS
CDKN1A	NOTCH2
CDKN1A	DDB2
CDKN1A	E2F3
CDKN1A	MAPK3
CDKN1A	NOTCH3
CDKN1A	PIK3CA
CDKN1A	FGF2
CDKN1A	EGF
CDKN1A	RB1
CDKN1A	TP53
CDKN1A	ERBB2
CDKN1A	EGFR
CDKN1A	KIT
CDKN1A	MAP2K1
CDKN1A	FOS
CDKN1A	GSK3B
CDKN1A	PGR
CDKN1A	SP1
CDKN1A	E2F1
CDKN1A	MTOR
CDKN1A	E2F2
CDKN1A	PARP1
CDKN1A	NRAS
CDKN1A	NFKB2
CDKN1A	GADD45A
CDKN1A	JUN
CDKN1A	PTEN
CDKN1A	CSNK2B
CDKN1A	IGF1
CDKN1A	FGF1
CDKN1A	IGF1R
CDKN1A	PIK3R1
CDKN1A	CTNNB1
CDKN1A	HRAS
CDKN1A	NOTCH1
CDKN1A	ESR1
CDKN1A	MYC
CETN3	SKP1
CETN3	MYC
CSNK1A1	DVL2
CSNK1A1	WNT16
CSNK1A1	SKP1
CSNK1A1	KRAS
CSNK1A1	LRP6
CSNK1A1	FZD8
CSNK1A1	PIK3R1
CSNK1A1	JUN
CSNK1A1	GRB2
CSNK1A1	FRAT2
CSNK1A1	WNT5A
CSNK1A1	CSNK2B
CSNK1A1	PIK3CA
CSNK1A1	MTOR
CSNK1A1	PTEN
CSNK1A1	LEF1
CSNK1A1	FRAT1
CSNK1A1	EGFR
CSNK1A1	CSNK2A2
CSNK1A1	MYC
CSNK1A1	FZD2
CSNK1A1	DVL3
CSNK1A1	CSNK1A1L
CSNK1A1	FZD1
CSNK1A1	WNT1
CSNK1A1	WNT3A
CSNK1A1	LRP5
CSNK1A1	TP53
CSNK1A1	DVL1
CSNK1A1	GSK3B
CSNK1A1	CTNNB1
CSNK1A1L	GSK3B
CSNK1A1L	CTNNB1
CSNK2A1	DVL2
CSNK2A1	MAPK1
CSNK2A1	FGF2
CSNK2A1	ESR2
CSNK2A1	SKP1
CSNK2A1	FOS
CSNK2A1	KRAS
CSNK2A1	GSK3B
CSNK2A1	ESR1
CSNK2A1	MYC
CSNK2A1	RB1
CSNK2A1	JUN
CSNK2A1	CSNK2A3
CSNK2A1	CTNNB1
CSNK2A1	DVL3
CSNK2A1	TP53
CSNK2A1	DVL1
CSNK2A1	PTEN
CSNK2A1	CSNK2A2
CSNK2A1	CSNK2B
CSNK2A2	DVL2
CSNK2A2	MAPK1
CSNK2A2	SKP1
CSNK2A2	KRAS
CSNK2A2	LRP6
CSNK2A2	FGF3
CSNK2A2	ESR2
CSNK2A2	FGF2
CSNK2A2	GSK3B
CSNK2A2	ESR1
CSNK2A2	FGF1
CSNK2A2	CSNK2A3
CSNK2A2	DVL3
CSNK2A2	DVL1
CSNK2A2	TP53
CSNK2A2	CTNNB1
CSNK2A2	PTEN
CSNK2A2	CSNK2B
CSNK2A3	DVL2
CSNK2A3	DVL3
CSNK2A3	PTEN
CSNK2A3	CSNK2B
CSNK2A3	DVL1
CSNK2A3	CTNNB1
CSNK2B	DVL2
CSNK2B	TP53
CSNK2B	DVL3
CSNK2B	GSK3B
CSNK2B	PTEN
CSNK2B	DVL1
CSNK2B	CTNNB1
CTNNB1	DVL2
CTNNB1	FGF4
CTNNB1	FGF20
CTNNB1	FGF22
CTNNB1	MAPK1
CTNNB1	WNT16
CTNNB1	WNT3
CTNNB1	RPS6KB1
CTNNB1	FGF6
CTNNB1	FZD10
CTNNB1	SKP1
CTNNB1	HES1
CTNNB1	WNT6
CTNNB1	FGF23
CTNNB1	FZD3
CTNNB1	DLL4
CTNNB1	KRAS
CTNNB1	NOTCH2
CTNNB1	WNT10A
CTNNB1	LRP6
CTNNB1	FLT4
CTNNB1	PIK3R3
CTNNB1	E2F3
CTNNB1	MAP2K2
CTNNB1	MAPK3
CTNNB1	NOTCH3
CTNNB1	PIK3CA
CTNNB1	FGF2
CTNNB1	WNT5A
CTNNB1	FGF10
