node1	node2
EGFR	SOS2
EGFR	PIK3R2
EGFR	FGF6
EGFR	SKP1
EGFR	FGF23
EGFR	KRAS
EGFR	NOTCH2
EGFR	LRP6
EGFR	PIK3R3
EGFR	MAP2K2
EGFR	MAPK3
EGFR	NOTCH3
EGFR	PIK3CA
EGFR	FGF2
EGFR	SHC2
EGFR	WNT5A
EGFR	FGF10
EGFR	LEF1
EGFR	WNT2
EGFR	RB1
EGFR	FGF7
EGFR	TP53
EGFR	ERBB2
EGFR	FGF18
EGFR	WNT7B
EGFR	NOTCH4
EGFR	LRP5
EGFR	KIT
EGFR	TCF7
EGFR	WNT1
EGFR	SP1
EGFR	RAD51
EGFR	FGFR1
EGFR	NCOA1
EGFR	WNT7A
EGFR	GSK3B
EGFR	MAP2K1
EGFR	WNT3A
EGFR	NCOA3
EGFR	JAG2
EGFR	FGF21
EGFR	PARP1
EGFR	ESR2
EGFR	TNFSF11
EGFR	FGF19
EGFR	MTOR
EGFR	PGR
EGFR	RAF1
EGFR	JUN
EGFR	MYC
EGFR	NOTCH1
EGFR	FGF1
EGFR	FGF8
EGFR	FGF5
EGFR	FGF17
EGFR	FGF16
EGFR	FGF9
EGFR	FGF3
EGFR	FOS
EGFR	PIK3CD
EGFR	PTEN
EGFR	ESR1
EGFR	SHC3
EGFR	SHC4
EGFR	IGF1R
EGFR	NRAS
EGFR	IGF1
EGFR	HRAS
EGFR	PIK3R1
EGFR	SHC1
EGFR	SOS1
EGFR	GRB2
ERBB2	FGF4
ERBB2	FGF20
ERBB2	FGF22
ERBB2	SOS2
ERBB2	PIK3R2
ERBB2	FGF6
ERBB2	FGF23
ERBB2	KRAS
ERBB2	NOTCH2
ERBB2	FLT4
ERBB2	PIK3R3
ERBB2	NOTCH3
ERBB2	PIK3CA
ERBB2	FGF2
ERBB2	SHC2
ERBB2	WNT5A
ERBB2	FGF10
ERBB2	WNT2
ERBB2	RB1
ERBB2	FGF7
ERBB2	TP53
ERBB2	TNFSF11
ERBB2	MAP2K1
ERBB2	NOTCH4
ERBB2	RAF1
ERBB2	RAD51
ERBB2	TCF7
ERBB2	WNT1
ERBB2	FOS
ERBB2	NCOA1
ERBB2	GSK3B
ERBB2	FGF21
ERBB2	ESR2
ERBB2	MTOR
ERBB2	FGFR1
ERBB2	PARP1
ERBB2	JUN
ERBB2	FGF19
ERBB2	NCOA3
ERBB2	FGF1
ERBB2	NOTCH1
ERBB2	SOS1
ERBB2	FGF8
ERBB2	FGF17
ERBB2	FGF5
ERBB2	FGF9
ERBB2	FGF16
ERBB2	FGF3
ERBB2	FGF18
ERBB2	PTEN
ERBB2	MYC
ERBB2	NRAS
ERBB2	HRAS
ERBB2	PIK3CD
ERBB2	SHC4
ERBB2	SHC3
ERBB2	ESR1
ERBB2	PGR
ERBB2	IGF1
ERBB2	IGF1R
ERBB2	PIK3R1
ERBB2	GRB2
ERBB2	SHC1
ESR1	FGF4
ESR1	FGF20
ESR1	FGF22
ESR1	GADD45B
ESR1	MAPK1
ESR1	SOS2
ESR1	PIK3R2
ESR1	RPS6KB1
ESR1	FGF6
ESR1	SKP1
ESR1	GADD45G
ESR1	KRAS
ESR1	NOTCH2
ESR1	PIK3R3
ESR1	MAP2K2
ESR1	MAPK3
ESR1	NOTCH3
ESR1	PIK3CA
ESR1	FGF2
ESR1	WNT5A
ESR1	FGF10
ESR1	LEF1
ESR1	WNT2
ESR1	RB1
ESR1	FGF7
ESR1	TP53
ESR1	FGF18
ESR1	KIT
ESR1	WNT4
ESR1	WNT1
ESR1	LRP5
ESR1	FGF19
ESR1	MAP2K1
ESR1	FOS
ESR1	RPS6KB2
ESR1	FGF5
ESR1	FGF8
ESR1	GSK3B
ESR1	PGR
ESR1	SP1
ESR1	FGF3
ESR1	ESR2
ESR1	FGF17
ESR1	MTOR
ESR1	PARP1
ESR1	NRAS
ESR1	NFKB2
ESR1	GADD45A
ESR1	JUN
ESR1	PTEN
ESR1	NCOA3
ESR1	NOTCH4
ESR1	SHC3
ESR1	FGF9
ESR1	GRB2
ESR1	IGF1
ESR1	TNFSF11
ESR1	NCOA1
ESR1	FGFR1
ESR1	FGF16
ESR1	SHC1
ESR1	RAF1
ESR1	FGF21
ESR1	TCF7L2
ESR1	SFRP4
ESR1	FGF1
ESR1	RAD51
ESR1	NOTCH1
ESR1	HRAS
ESR1	MYC
ESR1	PIK3R1
ESR1	IGF1R
ESR2	FGF22
ESR2	MAPK1
ESR2	PIK3R2
ESR2	RPS6KB1
ESR2	PIK3R3
ESR2	MAPK3
ESR2	PIK3CA
ESR2	FGF10
ESR2	RB1
ESR2	FGF7
ESR2	TP53
ESR2	FOS
ESR2	RPS6KB2
ESR2	FGF8
ESR2	GSK3B
ESR2	PGR
ESR2	SP1
ESR2	FGF3
ESR2	TNFSF11
ESR2	PTEN
ESR2	MYC
ESR2	PIK3R1
ESR2	SHC1
ESR2	IGF1
ESR2	IGF1R
ESR2	JUN
ESR2	NCOA3
ESR2	NCOA1
FGF1	FGF4
FGF1	FGF20
FGF1	FGF22
FGF1	MAPK1
FGF1	PIK3R2
FGF1	FGF6
FGF1	FGF23
FGF1	KRAS
FGF1	FLT4
FGF1	MAPK3
FGF1	PIK3CA
FGF1	FGF2
FGF1	FGF10
FGF1	FGF7
FGF1	FGF18
FGF1	KIT
FGF1	FGF19
FGF1	FGF5
FGF1	FGF8
FGF1	FGF3
FGF1	FGF17
FGF1	NRAS
FGF1	PTEN
FGF1	FGF9
FGF1	GRB2
FGF1	IGF1
FGF1	SOS1
FGF1	FGFR1
FGF1	FGF16
FGF1	SHC1
FGF1	HRAS
FGF1	PIK3R1
FGF1	MYC
FGF1	IGF1R
FGF10	FGF4
FGF10	FGF20
FGF10	FGF22
FGF10	MAPK1
FGF10	PIK3R2
FGF10	WNT3
FGF10	FGF6
FGF10	FGF23
FGF10	KRAS
FGF10	FLT4
FGF10	MAPK3
FGF10	PIK3CA
FGF10	FGF2
FGF10	WNT5A
FGF10	PGR
FGF10	WNT7A
FGF10	WNT4
FGF10	TNFSF11
FGF10	FOS
FGF10	FGF5
FGF10	WNT2B
FGF10	WNT11
FGF10	WNT7B
FGF10	PTEN
FGF10	JUN
FGF10	NOTCH1
FGF10	MTOR
FGF10	GSK3B
FGF10	LEF1
FGF10	PIK3R1
FGF10	WNT1
FGF10	FGF17
FGF10	FGF9
FGF10	WNT2
FGF10	MYC
FGF10	FGF18
FGF10	SOS1
FGF10	SHC1
FGF10	FGF19
FGF10	TP53
FGF10	NRAS
FGF10	HRAS
FGF10	FGF8
FGF10	FGF7
FGF10	FGF16
FGF10	FGF3
FGF10	WNT3A
FGF10	GRB2
FGF10	IGF1
FGF10	KIT
FGF10	IGF1R
FGF10	FGFR1
FGF16	FGF4
FGF16	FGF20
FGF16	FGF22
FGF16	GADD45B
FGF16	MAPK1
FGF16	PIK3R2
FGF16	FGF6
FGF16	FGF23
FGF16	KRAS
FGF16	FLT4
FGF16	MAPK3
FGF16	PIK3CA
FGF16	FGF2
FGF16	WNT5A
FGF16	LEF1
FGF16	FGF7
FGF16	TP53
FGF16	FGF18
FGF16	WNT3A
FGF16	KIT
FGF16	WNT4
FGF16	WNT1
FGF16	FGF19
FGF16	FOS
FGF16	FGF5
FGF16	FGF8
FGF16	GSK3B
FGF16	FGF3
FGF16	FGF17
FGF16	MTOR
FGF16	NRAS
FGF16	JUN
FGF16	PTEN
FGF16	FGF9
FGF16	GRB2
FGF16	IGF1
FGF16	TNFSF11
FGF16	SOS1
FGF16	FGFR1
FGF16	NOTCH1
FGF16	PIK3R1
FGF16	MYC
FGF16	SHC1
FGF16	HRAS
FGF16	IGF1R
FGF17	FGF4
FGF17	FGF20
FGF17	FGF22
FGF17	MAPK1
FGF17	PIK3R2
FGF17	FGF6
FGF17	FGF23
FGF17	KRAS
FGF17	FLT4
FGF17	MAPK3
FGF17	PIK3CA
FGF17	FGF2
FGF17	WNT5A
FGF17	WNT2
FGF17	FGF7
FGF17	TP53
FGF17	FGF18
FGF17	WNT3A
FGF17	KIT
FGF17	WNT1
FGF17	FGF19
FGF17	FOS
FGF17	FGF5
FGF17	FGF8
FGF17	GSK3B
FGF17	FGF3
FGF17	TNFSF11
FGF17	PTEN
FGF17	NOTCH1
FGF17	JUN
FGF17	MTOR
FGF17	PIK3R1
FGF17	MYC
FGF17	FGF9
FGF17	SOS1
FGF17	SHC1
FGF17	FGF21
FGF17	NRAS
FGF17	HRAS
FGF17	GRB2
FGF17	IGF1
FGF17	IGF1R
FGF17	FGFR1
FGF18	FGF4
FGF18	FGF20
FGF18	FGF22
FGF18	GADD45B
FGF18	MAPK1
FGF18	PIK3R2
FGF18	FGF6
FGF18	FGF23
FGF18	KRAS
FGF18	FLT4
FGF18	MAPK3
FGF18	PIK3CA
FGF18	FGF2
FGF18	WNT5A
FGF18	LEF1
FGF18	WNT2
FGF18	FGF7
FGF18	TP53
FGF18	LRP5
FGF18	WNT7A
FGF18	WNT4
FGF18	FOS
FGF18	MAP2K1
FGF18	PTEN
FGF18	WNT1
FGF18	GSK3B
FGF18	NOTCH1
FGF18	TNFSF11
FGF18	FGF8
FGF18	MTOR
FGF18	PIK3R1
FGF18	JUN
FGF18	MYC
FGF18	WNT3A
FGF18	SOS1
FGF18	FGF3
FGF18	FGF9
FGF18	SHC1
FGF18	FGF21
FGF18	FGF5
FGF18	NRAS
FGF18	HRAS
FGF18	FGF19
FGF18	GRB2
FGF18	IGF1
FGF18	KIT
FGF18	IGF1R
FGF18	FGFR1
FGF19	FGF4
FGF19	FGF20
FGF19	FGF22
FGF19	MAPK1
FGF19	PIK3R2
FGF19	FGF6
FGF19	FGF23
FGF19	KRAS
FGF19	FLT4
FGF19	MAPK3
FGF19	PIK3CA
FGF19	FGF2
FGF19	FGF7
FGF19	TP53
FGF19	KIT
FGF19	SHC1
FGF19	FGF21
FGF19	SOS1
FGF19	PIK3R1
FGF19	IGF1
FGF19	FGF5
FGF19	MTOR
FGF19	GRB2
FGF19	HRAS
FGF19	NRAS
FGF19	FGF3
FGF19	IGF1R
FGF19	FGF9
FGF19	FGF8
FGF19	FGFR1
FGF2	FGF4
FGF2	FGF20
FGF2	FGF22
FGF2	MAPK1
FGF2	PIK3R2
FGF2	WNT3
FGF2	RPS6KB1
FGF2	FGF6
FGF2	FGF23
FGF2	KRAS
FGF2	FLT4
FGF2	MAPK3
FGF2	NOTCH3
FGF2	PIK3CA
FGF2	HEY1
FGF2	WNT7A
FGF2	PGR
FGF2	LEF1
FGF2	WNT2
FGF2	FGF21
FGF2	HES5
FGF2	TNFSF11
FGF2	WNT1
FGF2	MTOR
FGF2	MAP2K1
FGF2	PIK3R1
FGF2	WNT5A
FGF2	FGF3
FGF2	NOTCH1
FGF2	SOS1
FGF2	WNT4
FGF2	FGF9
FGF2	FGF5
FGF2	JUN
FGF2	PTEN
FGF2	GSK3B
FGF2	SHC1
FGF2	FGF8
FGF2	NRAS
FGF2	GRB2
FGF2	FOS
FGF2	HRAS
FGF2	MYC
FGF2	TP53
FGF2	WNT3A
FGF2	FGF7
FGF2	IGF1
FGF2	KIT
FGF2	IGF1R
FGF2	FGFR1
FGF20	FGF4
FGF20	FGF5
FGF20	GADD45B
FGF20	WNT4
FGF20	FOS
FGF20	LEF1
FGF20	TNFSF11
FGF20	NOTCH1
FGF20	WNT1
FGF20	WNT5A
FGF20	PIK3R2
FGF20	PTEN
FGF20	JUN
FGF20	MTOR
FGF20	FGF22
FGF20	PIK3R1
FGF20	FGF7
FGF20	GSK3B
FGF20	FGF6
FGF20	FGF3
FGF20	FGF8
FGF20	MYC
FGF20	TP53
FGF20	WNT3A
FGF20	PIK3CA
FGF20	SOS1
FGF20	MAPK1
FGF20	SHC1
FGF20	NRAS
FGF20	HRAS
FGF20	KRAS
FGF20	MAPK3
FGF20	FGF23
FGF20	GRB2
FGF20	IGF1
FGF20	FGF9
FGF20	KIT
FGF20	IGF1R
FGF20	FLT4
FGF20	FGFR1
FGF21	MAPK1
FGF21	FGF23
FGF21	FLT4
FGF21	MAPK3
FGF21	KIT
FGF21	FGF8
FGF21	MTOR
FGF21	IGF1
FGF21	FGFR1
FGF21	IGF1R
FGF22	FGF4
FGF22	WNT2
FGF22	GADD45B
FGF22	LEF1
FGF22	WNT5A
FGF22	FGF5
FGF22	TNFSF11
FGF22	FOS
FGF22	NOTCH1
FGF22	FGF7
FGF22	PTEN
FGF22	GSK3B
FGF22	PIK3R2
FGF22	FGF9
FGF22	WNT1
FGF22	JUN
FGF22	MTOR
FGF22	PIK3R1
FGF22	MYC
FGF22	TP53
FGF22	FGF6
FGF22	WNT3A
FGF22	PIK3CA
FGF22	SOS1
FGF22	MAPK1
FGF22	SHC1
FGF22	NRAS
FGF22	FGF8
FGF22	HRAS
FGF22	KRAS
FGF22	FGF3
FGF22	MAPK3
FGF22	GRB2
FGF22	IGF1
FGF22	KIT
FGF22	IGF1R
FGF22	FGF23
FGF22	FLT4
FGF22	FGFR1
FGF23	FGF4
FGF23	MAPK1
FGF23	PIK3R2
FGF23	FGF6
FGF23	PIK3R1
FGF23	SHC1
FGF23	LRP5
FGF23	NOTCH3
FGF23	PIK3CA
FGF23	NOTCH2
FGF23	SOS1
FGF23	GRB2
FGF23	IGF1
FGF23	SFRP4
FGF23	NRAS
FGF23	KRAS
FGF23	HRAS
FGF23	MAPK3
FGF23	TNFSF11
FGF23	IGF1R
FGF23	FGF5
FGF23	FGF3
FGF23	KIT
FGF23	FLT4
FGF23	FGF7
FGF23	FGF9
FGF23	FGF8
FGF23	FGFR1
FGF3	FGF4
FGF3	MAPK1
FGF3	PIK3R2
FGF3	WNT3
FGF3	FGF6
FGF3	KRAS
FGF3	FLT4
FGF3	MAPK3
FGF3	PIK3CA
FGF3	WNT5A
FGF3	LEF1
FGF3	WNT2
FGF3	FGF7
FGF3	TP53
FGF3	WNT3A
FGF3	KIT
FGF3	WNT1
FGF3	WNT10B
FGF3	FOS
FGF3	FGF5
FGF3	FGF8
FGF3	GSK3B
FGF3	TNFSF11
FGF3	HES5
FGF3	PTEN
FGF3	JUN
FGF3	MTOR
FGF3	NOTCH1
FGF3	HEY1
FGF3	PIK3R1
FGF3	MYC
FGF3	SOS1
FGF3	SHC1
FGF3	NRAS
FGF3	HRAS
FGF3	FGF9
FGF3	GRB2
FGF3	IGF1
FGF3	IGF1R
FGF3	FGFR1
FGF4	LRP5
FGF4	MAP2K1
FGF4	FOS
FGF4	WNT7A
FGF4	LRP6
FGF4	WNT2B
FGF4	WNT2
FGF4	WNT4
FGF4	TNFSF11
FGF4	WNT3
FGF4	LEF1
FGF4	WNT5A
FGF4	PTEN
FGF4	FGF6
FGF4	PIK3R2
FGF4	MTOR
FGF4	GSK3B
FGF4	NOTCH1
FGF4	WNT1
FGF4	PIK3R1
FGF4	JUN
FGF4	WNT6
FGF4	FGF5
FGF4	FGF7
FGF4	SOS1
FGF4	FGF9
FGF4	SHC1
FGF4	TP53
FGF4	MAPK1
FGF4	MYC
FGF4	PIK3CA
FGF4	WNT3A
FGF4	NRAS
FGF4	HRAS
FGF4	FGF8
FGF4	KRAS
FGF4	MAPK3
FGF4	GRB2
FGF4	IGF1
FGF4	IGF1R
FGF4	KIT
FGF4	FLT4
FGF4	FGFR1
FGF5	GADD45B
FGF5	MAPK1
FGF5	PIK3R2
FGF5	WNT3
FGF5	FGF6
FGF5	KRAS
FGF5	FLT4
FGF5	MAPK3
FGF5	PIK3CA
FGF5	WNT5A
FGF5	LEF1
FGF5	WNT2
FGF5	FGF7
FGF5	TP53
FGF5	WNT3A
FGF5	KIT
FGF5	WNT1
FGF5	FOS
FGF5	FGF9
FGF5	TNFSF11
FGF5	PTEN
FGF5	NOTCH1
FGF5	GSK3B
FGF5	MTOR
FGF5	PIK3R1
FGF5	JUN
FGF5	SOS1
FGF5	MYC
FGF5	SHC1
FGF5	FGF8
FGF5	NRAS
FGF5	HRAS
FGF5	GRB2
FGF5	IGF1
FGF5	IGF1R
FGF5	FGFR1
FGF6	GADD45B
FGF6	MAPK1
FGF6	PIK3R2
FGF6	LEF1
FGF6	WNT2
FGF6	FOS
FGF6	WNT5A
FGF6	PTEN
FGF6	GSK3B
FGF6	TNFSF11
FGF6	WNT1
FGF6	NOTCH1
FGF6	JUN
FGF6	MTOR
FGF6	PIK3R1
FGF6	FGF7
FGF6	FGF8
FGF6	FGF9
FGF6	TP53
FGF6	MYC
FGF6	WNT3A
FGF6	SOS1
FGF6	PIK3CA
FGF6	SHC1
FGF6	NRAS
FGF6	HRAS
FGF6	KRAS
FGF6	MAPK3
FGF6	GRB2
FGF6	IGF1
FGF6	KIT
FGF6	IGF1R
FGF6	FLT4
FGF6	FGFR1
FGF7	GADD45B
FGF7	MAPK1
FGF7	PIK3R2
FGF7	KRAS
FGF7	FLT4
FGF7	MAPK3
FGF7	PIK3CA
FGF7	WNT5A
FGF7	LEF1
FGF7	WNT2
FGF7	WNT4
FGF7	WNT1
FGF7	FOS
FGF7	NOTCH1
FGF7	TNFSF11
FGF7	MTOR
FGF7	PTEN
FGF7	GSK3B
FGF7	FGF8
FGF7	PIK3R1
FGF7	JUN
FGF7	FGF9
FGF7	MYC
FGF7	SFRP4
FGF7	TP53
FGF7	SOS1
FGF7	SHC1
FGF7	WNT3A
FGF7	NRAS
FGF7	HRAS
FGF7	GRB2
FGF7	IGF1
FGF7	IGF1R
FGF7	KIT
FGF7	FGFR1
FGF8	MAPK1
FGF8	PIK3R2
FGF8	WNT3
FGF8	KRAS
FGF8	LRP6
FGF8	FLT4
FGF8	MAPK3
FGF8	PIK3CA
FGF8	WNT5A
FGF8	LEF1
FGF8	TP53
FGF8	WNT3A
FGF8	WNT7A
FGF8	KIT
FGF8	WNT4
FGF8	WNT1
FGF8	LRP5
FGF8	FOS
FGF8	WNT7B
FGF8	PTEN
FGF8	WNT11
FGF8	NOTCH1
FGF8	JUN
FGF8	TNFSF11
FGF8	MTOR
FGF8	PIK3R1
FGF8	GSK3B
FGF8	MYC
FGF8	SOS1
FGF8	FGF9
FGF8	SHC1
FGF8	NRAS
FGF8	HRAS
FGF8	GRB2
FGF8	IGF1
FGF8	IGF1R
FGF8	FGFR1
FGF9	MAPK1
FGF9	PIK3R2
FGF9	WNT3
FGF9	KRAS
FGF9	FLT4
FGF9	MAPK3
FGF9	PIK3CA
FGF9	WNT5A
FGF9	LEF1
FGF9	TP53
FGF9	WNT3A
FGF9	WNT7A
FGF9	KIT
FGF9	WNT4
FGF9	WNT1
FGF9	FOS
FGF9	GSK3B
FGF9	WNT11
FGF9	WNT7B
FGF9	MTOR
FGF9	NRAS
FGF9	JUN
FGF9	PTEN
FGF9	NOTCH1
FGF9	TNFSF11
FGF9	PIK3R1
FGF9	MYC
FGF9	SOS1
FGF9	SHC1
FGF9	HRAS
FGF9	GRB2
FGF9	IGF1
FGF9	IGF1R
FGF9	FGFR1
FGFR1	MAPK1
FGFR1	SOS2
FGFR1	PIK3R2
FGFR1	KRAS
FGFR1	NOTCH2
FGFR1	FLT4
FGFR1	PIK3R3
FGFR1	MAPK3
FGFR1	NOTCH3
FGFR1	PIK3CA
FGFR1	SHC2
FGFR1	WNT5A
FGFR1	TP53
FGFR1	WNT3A
FGFR1	PGR
FGFR1	SHC4
FGFR1	MTOR
FGFR1	NRAS
FGFR1	JUN
FGFR1	PTEN
FGFR1	SHC3
FGFR1	PIK3CD
FGFR1	GRB2
FGFR1	IGF1
FGFR1	SOS1
FGFR1	MYC
FGFR1	IGF1R
FGFR1	NOTCH1
FGFR1	HRAS
FGFR1	SHC1
FGFR1	PIK3R1
FLT4	PIK3R2
FLT4	KRAS
FLT4	WNT5A
FLT4	MTOR
FLT4	HEY1
FLT4	PTEN
FLT4	NOTCH1
FLT4	TP53
FLT4	WNT2
FLT4	IGF1R
FLT4	HEY2
FLT4	NOTCH4
FLT4	SHC2
FLT4	SHC3
FLT4	PIK3R3
FLT4	PIK3CD
FLT4	IGF1
FLT4	PIK3CA
FLT4	SHC4
FLT4	PIK3R1
FLT4	SHC1
FLT4	GRB2
FOS	GADD45B
FOS	MAPK1
FOS	RPS6KB1
FOS	HES1
FOS	GADD45G
FOS	KRAS
FOS	MAPK3
FOS	NOTCH3
FOS	PIK3CA
FOS	LEF1
FOS	RB1
FOS	TP53
FOS	MAP2K1
FOS	TCF7
FOS	NRAS
FOS	NFKB2
FOS	HEY1
FOS	IGF1R
FOS	MTOR
FOS	PIK3CD
FOS	SHC1
FOS	GRB2
FOS	RAF1
FOS	GSK3B
FOS	IGF1
FOS	TCF7L2
FOS	NOTCH1
FOS	PIK3R1
FOS	PGR
FOS	GADD45A
FOS	PTEN
FOS	HRAS
FOS	TNFSF11
FOS	RPS6KB2
FOS	SP1
FOS	NCOA1
FOS	MYC
FOS	NCOA3
FOS	JUN
FRAT1	LRP6
FRAT1	WNT1
FRAT1	LRP5
FRAT1	GSK3B
FRAT1	FRAT2
FRAT2	FZD10
FRAT2	LRP6
FRAT2	GSK3B
FRAT2	FZD5
FZD1	WNT16
FZD1	WNT3
FZD1	FZD10
FZD1	WNT6
FZD1	FZD3
FZD1	WNT10A
FZD1	LRP6
FZD1	WNT5A
FZD1	LEF1
FZD1	WNT2
FZD1	TCF7L1
FZD1	WNT3A
FZD1	WNT7A
FZD1	FZD7
FZD1	TCF7L2
FZD1	MYC
FZD1	TCF7
FZD1	FZD6
FZD1	FZD5
FZD1	FZD2
FZD1	FZD8
FZD1	SFRP4
FZD1	GSK3B
FZD1	WNT5B
FZD1	WNT2B
FZD1	WNT4
FZD1	WNT10B
FZD1	WNT7B
FZD1	WNT11
FZD1	WNT1
FZD1	LRP5
FZD10	WNT16
FZD10	WNT3
FZD10	LEF1
FZD10	SFRP4
FZD10	WNT5B
FZD10	WNT6
FZD10	WNT4
FZD10	WNT5A
FZD10	WNT10B
FZD10	WNT10A
FZD10	WNT2
FZD10	WNT3A
FZD10	WNT2B
FZD10	LRP6
FZD10	LRP5
FZD10	WNT11
FZD10	WNT7B
FZD10	WNT7A
FZD10	WNT1
FZD2	WNT16
FZD2	WNT3
FZD2	WNT6
FZD2	FZD3
FZD2	WNT10A
FZD2	LRP6
FZD2	WNT5A
FZD2	LEF1
FZD2	WNT2
FZD2	WNT3A
FZD2	WNT7A
FZD2	FZD7
FZD2	WNT4
FZD2	WNT1
FZD2	LRP5
FZD2	WNT10B
FZD2	FZD6
FZD2	FZD8
FZD2	FZD5
FZD2	SFRP4
FZD2	GSK3B
FZD2	WNT2B
FZD2	WNT7B
FZD2	WNT5B
FZD2	WNT11
FZD3	WNT16
FZD3	WNT3
FZD3	WNT6
FZD3	GSK3B
FZD3	LEF1
FZD3	FZD7
FZD3	FZD8
FZD3	FZD5
FZD3	SFRP4
FZD3	FZD6
FZD3	WNT10B
FZD3	WNT10A
FZD3	LRP6
FZD3	WNT2
FZD3	WNT2B
FZD3	LRP5
FZD3	WNT7A
FZD3	WNT7B
FZD3	WNT3A
FZD3	WNT1
FZD3	WNT5B
FZD3	WNT4
FZD3	WNT11
FZD3	WNT5A
FZD5	WNT16
FZD5	WNT3
FZD5	WNT6
FZD5	WNT10A
FZD5	LRP6
FZD5	WNT5A
FZD5	LEF1
FZD5	WNT2
FZD5	TCF7L1
FZD5	WNT3A
FZD5	WNT7A
FZD5	FZD7
FZD5	WNT4
FZD5	WNT1
FZD5	LRP5
FZD5	WNT10B
FZD5	GSK3B
FZD5	WNT11
FZD5	WNT7B
FZD5	FZD9
FZD5	FZD6
FZD5	FZD8
FZD5	SFRP4
FZD5	WNT2B
FZD5	WNT5B
FZD6	WNT16
FZD6	WNT3
FZD6	WNT6
FZD6	WNT10A
FZD6	LRP6
FZD6	WNT5A
FZD6	LEF1
FZD6	WNT2
FZD6	WNT3A
FZD6	WNT7A
FZD6	FZD7
FZD6	WNT4
FZD6	WNT1
FZD6	LRP5
FZD6	WNT10B
FZD6	GSK3B
FZD6	WNT11
FZD6	WNT7B
FZD6	FZD9
FZD6	FZD8
FZD6	SFRP4
FZD6	WNT2B
FZD6	WNT5B
FZD7	WNT16
FZD7	WNT3
FZD7	WNT6
FZD7	WNT10A
FZD7	LRP6
FZD7	WNT5A
FZD7	LEF1
FZD7	WNT2
FZD7	TCF7L1
FZD7	WNT3A
FZD7	WNT7A
FZD7	TCF7
FZD7	MYC
FZD7	GSK3B
FZD7	FZD8
FZD7	JUN
FZD7	SFRP4
FZD7	WNT2B
FZD7	WNT4
FZD7	LRP5
FZD7	WNT10B
FZD7	WNT5B
FZD7	WNT7B
FZD7	WNT1
FZD7	WNT11
FZD8	WNT16
FZD8	WNT3
FZD8	WNT6
FZD8	WNT10A
FZD8	LRP6
FZD8	WNT5A
FZD8	LEF1
FZD8	WNT2
FZD8	TCF7L1
FZD8	WNT3A
FZD8	WNT7A
FZD8	WNT4
FZD8	WNT1
FZD8	LRP5
FZD8	WNT10B
FZD8	GSK3B
FZD8	WNT11
FZD8	TCF7
FZD8	WNT7B
FZD8	WNT2B
FZD8	TCF7L2
FZD8	SFRP4
FZD8	WNT5B
FZD9	WNT16
FZD9	WNT3
FZD9	WNT6
FZD9	WNT10A
FZD9	LRP6
FZD9	WNT5A
FZD9	LEF1
FZD9	WNT2
FZD9	TCF7L1
FZD9	WNT3A
FZD9	WNT7A
FZD9	WNT4
FZD9	WNT1
FZD9	LRP5
FZD9	WNT10B
FZD9	GSK3B
FZD9	WNT11
FZD9	WNT7B
FZD9	SFRP4
FZD9	WNT2B
FZD9	WNT5B
GADD45A	GADD45B
GADD45A	MAPK1
GADD45A	SKP1
GADD45A	GADD45G
GADD45A	TP53
GADD45A	MTOR
GADD45A	PARP1
GADD45A	PTEN
GADD45A	MYC
GADD45A	JUN
GADD45B	MYC
GADD45B	JUN
GADD45B	GADD45G
GADD45B	TP53
GADD45G	PGR
GADD45G	JUN
GADD45G	TP53
GRB2	MAPK1
GRB2	SOS2
GRB2	PIK3R2
GRB2	RPS6KB1
GRB2	KRAS
GRB2	PIK3R3
GRB2	MAP2K2
GRB2	MAPK3
GRB2	PIK3CA
GRB2	SHC2
GRB2	RB1
GRB2	TP53
GRB2	KIT
GRB2	MAP2K1
GRB2	RPS6KB2
GRB2	GSK3B
GRB2	SHC4
GRB2	MTOR
GRB2	NRAS
GRB2	JUN
GRB2	PTEN
GRB2	SHC3
GRB2	PIK3CD
GRB2	TNFSF11
GRB2	MYC
GRB2	IGF1
GRB2	RAF1
GRB2	HRAS
GRB2	IGF1R
GRB2	PIK3R1
GRB2	SOS1
GRB2	SHC1
GSK3B	MAPK1
GSK3B	SOS2
GSK3B	WNT16
GSK3B	WNT3
GSK3B	RPS6KB1
GSK3B	SKP1
GSK3B	WNT6
GSK3B	KRAS
GSK3B	NOTCH2
GSK3B	WNT10A
GSK3B	LRP6
GSK3B	MAP2K2
GSK3B	NOTCH3
GSK3B	PIK3CA
GSK3B	WNT5A
GSK3B	LEF1
GSK3B	WNT2
GSK3B	TP53
GSK3B	WNT3A
GSK3B	WNT7A
GSK3B	WNT4
GSK3B	WNT1
GSK3B	LRP5
GSK3B	WNT10B
GSK3B	MAP2K1
GSK3B	PIK3CD
GSK3B	TNFSF11
GSK3B	HRAS
GSK3B	SHC1
GSK3B	NRAS
GSK3B	WNT5B
GSK3B	SOS1
GSK3B	PIK3R1
GSK3B	WNT2B
GSK3B	NCOA3
GSK3B	WNT7B
GSK3B	WNT11
GSK3B	TCF7L2
GSK3B	SP1
GSK3B	PARP1
GSK3B	IGF1R
GSK3B	IGF1
GSK3B	TCF7
GSK3B	MTOR
GSK3B	NOTCH1
GSK3B	PTEN
GSK3B	JUN
GSK3B	RAF1
GSK3B	MYC
HES1	MYC
HES1	PARP1
HES1	HEYL
HES1	JAG2
HES1	NOTCH4
