CALR	SH2B3
CALR	SETBP1
CALR	TET2
CALR	CEBPA
CALR	SRSF2
CALR	JAK2
CALR	MPL
CBFB	FLT3
CBFB	RARA
CBFB	KRAS
CBFB	CREBBP
CBFB	RB1
CBFB	TP53
CBFB	KIT
CBFB	TAL1
CBFB	NPM1
CBFB	RUNX1
CBFB	MLLT10
CBFB	IKZF1
CBFB	IKZF3
CBFB	GATA2
CBFB	NRAS
CBFB	GATA1
CBFB	ETV6
CBFB	CEBPA
CBL	FLT3
CBL	PDGFRA
CBL	MDM2
CBL	PDGFRB
CBL	PIK3CA
CBL	NF1
CBL	PICALM
CBL	NRAS
CBL	WAS
CBL	SH2B3
CBL	JAK2
CBL	SH3GL1
CBL	PTPN11
CBL	KIT
CBL	PIK3R1
CEBPA	FLT3
CEBPA	RARA
CEBPA	KRAS
CEBPA	PDGFRA
CEBPA	CREBBP
CEBPA	DNMT3A
CEBPA	RB1
CEBPA	TP53
CEBPA	KIT
CEBPA	TAL1
CEBPA	GFI1
CEBPA	NPM1
CEBPA	RUNX1
CEBPA	DDX41
CEBPA	IKZF1
CEBPA	GFI1B
CEBPA	SH2B3
CEBPA	GATA2
CEBPA	NF1
CEBPA	NRAS
CEBPA	GATA1
CEBPA	JAK2
CEBPA	SRSF2
CEBPA	ETV6
CEBPA	PTPN11
CEBPA	SETBP1
CEBPA	TET2
CEP57	TRIP13
CREBBP	FLT3
CREBBP	RARA
CREBBP	KRAS
CREBBP	MDM2
CREBBP	MLLT10
CREBBP	SETBP1
CREBBP	LZTR1
CREBBP	JAK2
CREBBP	NRAS
CREBBP	NUP214
CREBBP	GNB1
CREBBP	IKZF1
CREBBP	ETV6
CREBBP	MYD88
CREBBP	DNMT3A
CREBBP	TET2
CREBBP	RB1
CREBBP	NF1
CREBBP	GATA2
CREBBP	PIK3R1
CREBBP	NSD1
CREBBP	GATA1
CREBBP	PIK3CA
CREBBP	SETD2
CREBBP	RUNX1
CREBBP	TP53
DDX41	SBDS
DDX41	RUNX1
DDX41	SAMD9L
DDX41	TET2
DDX41	SF3B1
DDX41	SAMD9
DDX41	TREX1
DDX41	GATA2
DDX41	ETV6
DDX41	MYD88
DDX41	SRSF2
DDX41	IFIH1
DKC1	RNASEH2A
DKC1	FANCE
DKC1	SBDS
DKC1	RPL35
DKC1	NSUN2
DKC1	TP53
DKC1	NPM1
DKC1	TERT
DKC1	POT1
DKC1	RPL35A
DKC1	RPS20
DKC1	SRP54
DKC1	RPS15
DKC1	RPS10
DKC1	TSR2
DKC1	RPL26
DKC1	RPS24
DKC1	RECQL4
DKC1	RPS14
DKC1	RPS19
DKC1	RPL11
DKC1	RPL5
DNAJC21	SBDS
DNAJC21	EFL1
DNAJC21	TSR2
DNAJC21	SRP54
DNMT3A	MLH1
DNMT3A	FLT3
DNMT3A	RARA
DNMT3A	KRAS
DNMT3A	MDM2
DNMT3A	PIGA
DNMT3A	TERT
DNMT3A	IKZF1
DNMT3A	NF1
DNMT3A	SH2B3
DNMT3A	PTPN11
DNMT3A	NSD1
DNMT3A	SETD2
DNMT3A	ETV6
DNMT3A	KIT
DNMT3A	GATA1
DNMT3A	RB1
DNMT3A	SETBP1
DNMT3A	JAK2
DNMT3A	GATA2
DNMT3A	NRAS
DNMT3A	SRSF2
DNMT3A	RUNX1
DNMT3A	NPM1
DNMT3A	TP53
DNMT3A	TET2
DYNC2LI1	EVC
DYNC2LI1	EVC2
EFL1	FANCE
EFL1	SBDS
EFL1	RPL35
EFL1	SF3B1
EFL1	RPS10
EFL1	RPS15A
EFL1	SRP54
EFL1	RPS17
EFL1	RPL35A
EFL1	RPS7
EFL1	RPS29
EFL1	RPL26
EFL1	RPS24
